Model                Brand            Cell Type           Efficiency  Length(nominal)  Width(nominal)  Thickness  M    N    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance  Price
SPR-X21-345,         SunPower,        Monocrystalline,    0.215,      1.558(1.56),     1.046(1.05),    0.046,     12,  8,   345,    57.3,  6.02,  68.2,  6.39,  -0.0029,  41.5,  18.6,   Black,  High,            800
SPR-X22-360,         SunPower,        Monocrystalline,    0.222,      1.558(1.56),     1.046(1.05),    0.046,     12,  8,   360,    59.1,  6.09,  69.5,  6.48,  -0.0029,  45,    18.6,   Black,  High,            800
SPR-X22-370,         SunPower,        Monocrystalline,    0.227,      1.558(1.56),     1.046(1.05),    0.046,     12,  8,   370,    59.1,  6.26,  69.5,  6.66,  -0.0029,  45,    20.6,   Black,  High,            800
SW 300 MONO,         Solar World,     Monocrystalline,    0.1789,     1.675(1.65),     1.001(0.99),    0.033,     10,  6,   300,    31.6,  9.57,  40.1,  10.23, -0.0041,  46,    18,     Black,  Partial,         800
TSM-175PEG40.07,     Trina Solar,     Polycrystalline,    0.1064,     1.658(1.65),     0.992(0.99),    0.025,     10,  6,   175,    20.6,  8.5,   25.4,  9,     -0.0041,  44,    23,     Blue,   Partial,         400
TSM-250PDG5,         Trina Solar,     Polycrystalline,    0.152,      1.658(1.65),     0.992(0.99),    0.032,     10,  6,   250,    30,    8.34,  37.5,  8.79,  -0.0041,  44,    23.5,   Blue,   Partial,         600
TSM-300PEG14,        Trina Solar,     Monocrystalline,    0.1529,     1.978(1.96),     0.992(0.99),    0.032,     12,  6,   300,    36.4,  8.24,  45.2,  8.74,  -0.0041,  44,    28.6,   Blue,   Partial,         800
TSM-325PEG14(II),    Trina Solar,     Polycrystalline,    0.1641,     1.984(1.96),     0.998(0.99),    0.008,     12,  6,   325,    37.4,  8.69,  46.1,  9.14,  -0.0041,  44,    28,     Blue,   Partial,         920
TSM-350DD14A(II),    Trina Solar,     Monocrystalline,    0.1804,     1.956(1.96),     0.992(0.99),    0.04,      12,  6,   350,    38.5,  9.09,  46.9,  9.6,   -0.0039,  44,    26,     Blue,   Partial,         950
TSM-365DD14A(II),    Trina Solar,     Monocrystalline,    0.1881,     1.956(1.96),     0.992(0.99),    0.04,      12,  6,   365,    39.1,  9.35,  47.3,  9.88,  -0.0039,  44,    26,     Black,  Partial,         1000
